panel,delta,input,T,y,width,p0,coherent,omitted_cross,nonlinear,cc,cl,ll
a,1e-06,1,242.44843145461283,5.2,139.78180006918654,0.03679019946676568,-7.158374296363964e-06,-1.5186486814957428e-05,-7.1574670839000265e-06,-1.7324524583987224e-06,8.028112518593464e-06,-1.3454034356558705e-05
a,1e-06,1,242.44843145461283,5.6000000000000005,139.78180006918654,0.03679019946676568,-6.302754246838056e-06,-1.4955161944830577e-05,-6.30203473703933e-06,-2.003080872760709e-06,8.65240769799252e-06,-1.2952081072069868e-05
a,1e-06,1,242.44843145461283,6.0,139.78180006918654,0.03679019946676568,-5.509927790910262e-06,-1.475614390315342e-05,-5.509363790269506e-06,-2.2986452580217704e-06,9.246216112243158e-06,-1.245749864513165e-05
a,1e-06,1,242.44843145461283,6.4,139.78180006918654,0.03679019946676568,-4.780411514282808e-06,-1.458976467015127e-05,-4.779975211956222e-06,-2.6192989778284114e-06,9.809353155868463e-06,-1.197046569232286e-05
a,1e-06,1,242.44843145461283,6.800000000000001,139.78180006918654,0.03679019946676568,-4.114734463523521e-06,-1.4456365124767948e-05,-4.1144019088251715e-06,-2.9652066405783193e-06,1.0341630661244427e-05,-1.149115848418963e-05
a,1e-06,1,242.44843145461283,7.2,139.78180006918654,0.03679019946676568,-3.5134379086805088e-06,-1.4356294829609119e-05,-3.513188027833014e-06,-3.336543959485513e-06,1.084285692092861e-05,-1.1019750870123606e-05
a,1e-06,1,242.44843145461283,7.6000000000000005,139.78180006918654,0.03679019946676568,-2.9770750841827114e-06,-1.4289911806508892e-05,-2.9768908652305637e-06,-3.733497602370911e-06,1.1312836722326182e-05,-1.0556414204137982e-05
a,1e-06,1,242.44843145461283,8.0,139.78180006918654,0.03679019946676568,-2.506210908208315e-06,-1.4257582302708333e-05,-2.506077653785521e-06,-4.156265031087761e-06,1.1751371394500018e-05,-1.0101317271620572e-05
a,1e-06,1,242.44843145461283,8.4,139.78180006918654,0.03679019946676568,-2.101421680279481e-06,-1.4259680547564007e-05,-2.1013269109262933e-06,-4.605054330522256e-06,1.2158258867284526e-05,-9.65462621704175e-06
a,1e-06,1,242.44843145461283,8.8,139.78180006918654,0.03679019946676568,-1.7632947571113434e-06,-1.4296588499781221e-05,-1.7632288510718852e-06,-5.0800840270542335e-06,1.2533293742669879e-05,-9.216504472726989e-06
a,1e-06,1,242.44843145461283,9.200000000000001,139.78180006918654,0.03679019946676568,-1.4924282066656344e-06,-1.4368695584998822e-05,-1.4923832349147959e-06,-5.581582896427175e-06,1.2876267378333189e-05,-8.787112688571649e-06
a,1e-06,1,242.44843145461283,9.600000000000001,139.78180006918654,0.03679019946676568,-1.2894304404049234e-06,-1.4476398424021157e-05,-1.2894000835234065e-06,-6.109789760916539e-06,1.3186967983616233e-05,-8.366608663104617e-06
a,1e-06,1,242.44843145461283,10.0,139.78180006918654,0.03679019946676568,-1.1549198236504224e-06,-1.462010055110718e-05,-1.1548984593864886e-06,-6.664953275723407e-06,1.3465180727456759e-05,-7.955147275383774e-06
a,1e-06,1,242.44843145461283,10.4,139.78180006918654,0.03679019946676568,-1.089524264145961e-06,-1.4800212122791917e-05,-1.0895070828159659e-06,-7.2473317045082976e-06,1.3710687858645955e-05,-7.552880418283619e-06
a,1e-06,1,242.44843145461283,10.8,139.78180006918654,0.03679019946676568,-1.0938807788064018e-06,-1.5017149616881581e-05,-1.0938634828205895e-06,-7.857192683976511e-06,1.392326883807518e-05,-7.15995693290507e-06
a,1e-06,1,242.44843145461283,11.200000000000001,139.78180006918654,0.03679019946676568,-1.1686350386603193e-06,-1.527133552164328e-05,-1.1686133729732484e-06,-8.494812977442063e-06,1.410270048298296e-05,-6.776522544201216e-06
a,1e-06,1,242.44843145461283,11.600000000000001,139.78180006918654,0.03679019946676568,-1.3144408921292515e-06,-1.5563198015219185e-05,-1.3144095973513514e-06,-9.160478217285331e-06,1.4248757123089932e-05,-6.402719797933852e-06
a,1e-06,1,242.44843145461283,12.0,139.78180006918654,0.03679019946676568,-1.5319598666097492e-06,-1.5893170635062627e-05,-1.531913105069782e-06,-9.854482636227818e-06,1.4361210768452879e-05,-6.03868799883481e-06
a,1e-06,1,242.44843145461283,12.4,139.78180006918654,0.03679019946676568,-1.8218606484824054e-06,-1.6261691937597333e-05,-1.8217909192111414e-06,-1.0577128787358159e-05,1.4439831289114927e-05,-5.6845631502391734e-06
a,1e-06,1,242.44843145461283,12.8,139.78180006918654,0.03679019946676568,-2.184818541745706e-06,-1.6669205147862835e-05,-2.184717017607307e-06,-1.1328727252840557e-05,1.4484386606117127e-05,-5.340477895022276e-06
a,1e-06,1,242.44843145461283,13.200000000000001,139.78180006918654,0.03679019946676568,-2.6215149052515938e-06,-1.711615779906112e-05,-2.6213698770677363e-06,-1.2109596341239506e-05,1.4494642893809529e-05,-5.006561457821617e-06
a,1e-06,1,242.44843145461283,13.600000000000001,139.78180006918654,0.03679019946676568,-3.132636568812286e-06,-1.760300136231661e-05,-3.132433912894639e-06,-1.2920061773409974e-05,1.4470364793504322e-05,-4.682939588906634e-06
