record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
122,9.999999717180685e-09,17.62222029663885,3.346758107457821e-16,6.450331582600355e-10,True,True
123,9.999999717180685e-09,10.258956343368366,8.830179045562029e-16,8.973629349890713e-08,True,True
124,9.999999717180685e-09,13.022058459203512,8.635341796244013e-16,4.7830171553067917e-08,True,True
125,9.999999717180685e-09,17.627228652262087,3.346773594678035e-16,6.453016084441279e-10,True,True
126,9.999999717180685e-09,10.258956343368366,8.830179045562029e-16,8.973629349890713e-08,True,True
127,9.999999717180685e-09,13.022058459203512,8.635341796244013e-16,4.7830171553067917e-08,True,True
128,9.999999717180685e-09,17.627228652262087,3.346773594678035e-16,6.453016084441279e-10,True,True
129,9.999999717180685e-09,10.258956343368366,8.830179045562029e-16,8.973629356097049e-08,True,True
130,9.999999717180685e-09,13.022058459203512,8.635341796244013e-16,4.7830171553067917e-08,True,True
131,9.999999717180685e-09,17.627228652262087,3.3467735947143857e-16,6.453006915148929e-10,True,True
132,9.999999717180685e-09,10.258956343368366,8.830179045562029e-16,8.973629356097049e-08,True,True
133,9.999999717180685e-09,13.022058459203512,8.635341796244013e-16,4.7830171553067917e-08,True,True
134,9.999999717180685e-09,17.627228652262087,3.3467735947143857e-16,6.453006915148929e-10,True,True
135,3.162277617541065e-08,10.198848288838107,5.930448706964851e-16,8.65823616411429e-08,True,True
136,3.162277617541065e-08,12.7892565204784,7.777365652643289e-16,4.462601927576694e-08,True,True
137,3.162277617541065e-08,17.10660357321222,2.2840841639731207e-16,3.4669594614737327e-10,True,True
138,3.162277617541065e-08,10.203856644461341,7.65738089327179e-16,8.660908296085819e-08,True,True
139,3.162277617541065e-08,12.794264876101636,9.38699377751618e-16,4.462537292243532e-08,True,True
140,3.162277617541065e-08,17.111611928835455,2.2019533967845158e-16,3.4673442233952666e-10,True,True
141,3.162277617541065e-08,10.203856644461341,7.65738089327179e-16,8.660908296085819e-08,True,True
142,3.162277617541065e-08,12.794264876101636,9.38699377751618e-16,4.462537292243532e-08,True,True
143,3.162277617541065e-08,17.111611928835455,2.2019533967845158e-16,3.4673442233952666e-10,True,True
144,3.162277617541065e-08,10.203856644461341,7.65738089327179e-16,8.660908296085819e-08,True,True
145,3.162277617541065e-08,12.794264876101636,9.38699377751618e-16,4.462537292243532e-08,True,True
146,3.162277617541065e-08,17.111611928835455,2.2019533967845158e-16,3.4673442233952666e-10,True,True
147,3.162277617541065e-08,10.203856644461341,7.65738089327179e-16,8.660908296085819e-08,True,True
148,3.162277617541065e-08,12.794264876101636,9.38699377751618e-16,4.462537292243532e-08,True,True
